Keyword,Volume,Competition,Keyword Score
18k gold name necklace,1158,8132.0,140000.0
3d world map,641,5151.0,120000.0
above crib sign,1455,5829.0,250000.0
anniversary gift,11888,3208518.0,0.0
anniversary gifts,12110,3206014.0,0.0
apartment decor,1920,143487.0,10000.0
appliance cover,178,6693.0,30000.0
ateez,736,11870.0,60000.0
atiny,445,4809.0,90000.0
baby boy sweater,1258,13944.0,90000.0
baby bundles,1702,129429.0,10000.0
baby cardis,250,2752.0,90000.0
baby gift,11438,3385674.0,0.0
baby girl sweater,1527,49259.0,30000.0
baby knit sweater,1858,30137.0,60000.0
baby name necklace,1322,12033.0,110000.0
baby name pullover,506,3690.0,140000.0
baby name sign,5271,86937.0,60000.0
baby name sweater,2647,9463.0,280000.0
baby shower gift,9641,1810754.0,10000.0
baby sweater,2901,100554.0,30000.0
backdrop name sign,1550,7127.0,220000.0
birthday gift,17673,9998838.0,0.0
black spell,427,42980.0,10000.0
boho name sign,1985,14652.0,140000.0
boho nursery,3460,312638.0,10000.0
box chain,2082,70122.0,30000.0
box chain necklace,1853,44252.0,40000.0
boyfriend gift,9125,630777.0,10000.0
boy name sign,2456,25881.0,90000.0
bridal shower gift,6348,525667.0,10000.0
bride and groom gift,1558,153786.0,10000.0
bridesmaid gifts,11567,995150.0,10000.0
caitlyn minimalist,6176,3647.0,1690000.0
campaign hats,202,2696.0,80000.0
charcuterie board,3055,88825.0,30.0
children's knitwear,193,2785.0,70000.0
christmas,12855,14441239.0,0.0
christmas gift,12692,8049043.0,0.0
closing gift,2398,87062.0,30000.0
coach tim walz,22,616.0,0.0
cool mom sweater,685,9637.0,70000.0
couple gift,8603,818045.0,10000.0
custom baby sweater,2016,12857.0,160000.0
custom cutting board,2363,47663.0,50.0
custome baby gift,9182,1052.0,8730000.0
custom name necklace,7161,110812.0,60000.0
custom name sign,6791,229406.0,30000.0
custom necklace,8578,299725.0,30000.0
custom sign cut out,958,4665.0,210000.0
custom wish spell,82,580.0,140000.0
custom wood sign,4458,143090.0,30000.0
cut out name sign,1406,3064.0,460000.0
cutting board,3023,184260.0,20.0
dainty name necklace,4070,30268.0,130000.0
damascus knife,888,28518.0,30000.0
democratic party,1575,11600.0,140000.0
dryer wood table top,78,36.0,2190000.0
election yard signs,787,10336.0,80000.0
engagement gift,7290,1226210.0,10000.0
engagement gifts,7283,1226212.0,10000.0
enjoy the wood,321,2251.0,140000.0
family name sign,3511,73991.0,50.0
fast shipping,1732,106244.0,20000.0
first mothers day,2210,93871.0,20000.0
folding knife,883,35522.0,20000.0
fundamentals nursing,501,770.0,650000.0
gift,24036,43045404.0,0.0
gift for couple,7235,823276.0,10000.0
gift for her,17891,7892663.0,0.0
gift for him,9600,2943065.0,0.0
gift for husband,5896,767260.0,10000.0
gift for kids,7736,8179446.0,0.0
gift for mom,14641,4418148.0,0.0
gift for the home,1533,15623926.0,0.0
gifts for daughters,5316,735924.0,10000.0
gifts for her,18058,7833657.0,0.0
gifts for mom,14633,4419870.0,0.0
gifts for wife,5838,1147739.0,10000.0
girl boy name sign,1808,13883.0,130000.0
girl name sign,3322,43774.0,80000.0
gold name necklace,6275,120829.0,50000.0
groomsman gift,2918,78440.0,40000.0
handmade jewelry,7501,3871126.0,0.0
handmade knife,1031,60616.0,20000.0
harris 2024 yard,556,6619.0,80000.0
harris walz 2024,3115,42821.0,70000.0
headtotoe assessment,232,136.0,1710000.0
home decor,8167,30616250.0,0.0
hongjoong,473,3471.0,140000.0
house of rounds,731,1136.0,640000.0
housewarming gift,5400,2054414.0,0.0
infant woolens,106,27.0,3940000.0
jewelry gift,14300,8098295.0,0.0
jongho,333,2510.0,130000.0
junior chic sweaters,96,20.0,4810000.0
junior jumpers,193,809.0,240000.0
kamala and joe hat,31,501.0,60000.0
kamala barbie,120,411.0,290000.0
kamala harris,4916,159612.0,30.0
kamala harris 2024,5637,160920.0,40000.0
kamala harris barbie,120,397.0,300000.0
kamala harris sign,1586,11295.0,140000.0
kamala yard sign,1546,8743.0,180.0
kid comfort knits,223,481.0,470000.0
kids knits,1228,161802.0,10000.0
knitted baby sweater,1852,30130.0,60000.0
kpop,1178,123465.0,10000.0
large name sign,1800,15092.0,120000.0
last name sign,2823,41876.0,70000.0
laundry organization,595,26921.0,20000.0
laundry room cover,181,3649.0,50000.0
laundry room table,108,2709.0,40000.0
laundry room tray,98,1189.0,80000.0
laundry table top,151,286.0,530000.0
laundry wood topper,72,64.0,1130000.0
layered name sign,1147,4325.0,270000.0
let's win this,48,2038.0,20000.0
lightiny,137,271.0,510000.0
little tops,437,99133.0,0.0
lotery spell,1,10.0,130000.0
love spell,838,39845.0,20000.0
madam president,3995,61055.0,70.0
make a wish spell,63,550.0,120000.0
mama crewneck,1988,78031.0,30000.0
mama shirt,2690,627908.0,0.0
mama sweatshirt,3617,213535.0,20000.0
map to mark travels,167,463.0,360000.0
marble wood board,303,1879.0,160000.0
mingi,473,3755.0,130000.0
minimalist,10603,5010867.0,0.0
minimalist necklace,6353,709029.0,10000.0
mini name necklace,471,2320.0,200000.0
mito,68,688.0,100000.0
mom kids name sleeve,1551,20273.0,80000.0
money spell,453,16530.0,30000.0
mother day gift,11248,3125591.0,0.0
mother gift,12813,3740255.0,0.0
mothers day gift,11202,3122471.0,0.0
mothers necklace,7810,460282.0,20000.0
name neckace,197,343.0,580000.0
name necklace,8540,200307.0,40000.0
namepalte necklace,201,60.0,3350000.0
name sign,7788,365879.0,20000.0
name sweater baby,2577,9523.0,270000.0
necklace,11405,6051483.0,0.0
necklace for women,5092,2969100.0,0.0
necklace with name,3098,198008.0,20000.0
new home gift,3370,1043212.0,0.0
new mom gift,5152,482586.0,10000.0
new mom gifts,5172,483396.0,10000.0
nurseinthemake,646,545.0,1190000.0
nurseinthemaking,650,536.0,1210000.0
nursery name sign,4972,89912.0,60000.0
nursing cheat sheet,677,2201.0,310000.0
nursing medsurg,1061,2155.0,490000.0
nursing note,1325,10637.0,120000.0
nursing school,2193,84074.0,30000.0
nursingschool bundle,747,64.0,11680000.0
nursing student,2293,87197.0,30000.0
nursing study guide,1006,8355.0,120000.0
outlined name sign,503,1100.0,460000.0
personalized gift,22938,6686110.0,0.0
personalized gifts,22938,6686104.0,0.0
personalized jewelry,12598,996570.0,10000.0
personalized sign,7297,648769.0,10000.0
petite warmers,93,108.0,870000.0
pocket knife,1271,34064.0,40000.0
powerful wish spell,73,629.0,120000.0
president harris,2711,87195.0,30000.0
presidential,1841,48881.0,40000.0
push pin travel map,1160,7058.0,160000.0
realtor gift,2050,77151.0,30000.0
rnexplaine,475,330.0,1440000.0
rnexplained,475,329.0,1440000.0
san,988,169872.0,10000.0
script wood sign,336,3475.0,100000.0
seonghwa,505,3591.0,140000.0
serving tray,1616,265119.0,10000.0
sex spell,338,5510.0,60000.0
signature necklace,786,6784.0,120000.0
silver name necklace,4012,128275.0,30000.0
spell,1456,230302.0,10.0
strong spell,296,2592.0,110000.0
thanksgiving gift,1498,522763.0,0.0
tim walz,1425,17869.0,80.0
tim walz vp,191,2879.0,70000.0
tiny sweaters,288,3073.0,90000.0
toddler cozies,553,24505.0,20000.0
toddler sweater,2047,33734.0,60000.0
unique birthday gift,3875,821401.0,0.0
uniqu name necklace,915,71.0,12890000.0
valentines gift,7822,2155518.0,0.0
vote blue 2024,1806,34632.0,50000.0
vote for kamala,1857,65222.0,30000.0
vote outdoor signs,25,4078.0,0.0
wall decor,8603,20371560.0,0.0
washer and dryer,217,1617.0,130000.0
washer cover,125,377.0,330000.0
washer wood topper,75,35.0,2140000.0
wedding gift,13066,5043634.0,0.0
wedding name sign,4698,76051.0,60000.0
welcome sign,3306,416426.0,10000.0
weltkarte holz,307,291.0,1060000.0
white spell,375,30335.0,10000.0
wish,1485,273269.0,10000.0
wish spell,146,3466.0,40000.0
wood anniversary,3722,227355.0,20000.0
wooden name sign,4481,65015.0,70000.0
wooden sign,4638,281897.0,20000.0
wooden world map,1060,4542.0,230000.0
wood name sign,4975,96375.0,50000.0
wood sign,5352,630103.0,10000.0
wood table top,1093,28242.0,40000.0
wooyoung,435,3366.0,130000.0
world map wall art,1385,38892.0,40000.0
yard sign,960,164711.0,10000.0
yeosang,373,2807.0,130000.0
youth pullovers,463,16120.0,30000.0
yunho,378,2825.0,130000.0
