product_name,product_link,shop_name,shop_link,price,est_mo_sales,est_mo_revenue,est_total_sales,reviews,listing_age,favorites,avg_reviews,views,category,description_character_count,shop_age,visibility_score,conversion_rate,total_shop_sales,tags,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,image_path
"Wooden Washer and Dryer Top, Laundry Organization,  Laundry Room Countertop, Washer and Dryer Wood Table Top, Laundry Furniture, Laundry Top",https://www.etsy.com/listing/1471195988/wooden-washer-and-dryer-top-laundry,ByChelseaNicole,https://www.etsy.com/shop/ByChelseaNicole,400,678,271200,10914,451,16 Mo.,34,28,8211,Home & Living,,58,100,132.92,120009,"dryer wood table top,washer wood topper,laundry wood topper,laundry table top,laundry room table,laundry room tray,laundry room cover,appliance cover,washer cover,laundry organization,wood table top,washer and dryer,Gift",dryer wood table top,washer wood topper,laundry wood topper,laundry table top,laundry room table,laundry room tray,laundry room cover,appliance cover,washer cover,laundry organization,wood table top,washer and dryer,Gift,../data/images/Wooden_Washer_and_Dryer_Top__Laundry_Organization_.png
The Complete Nursing School Bundle® | 2025 Edition | Spiral Bound,https://www.etsy.com/listing/798029662/the-complete-nursing-school-bundle-o,NurseInTheMaking,https://www.etsy.com/shop/NurseInTheMaking,128,1385,177280,72240,9703,52 Mo.,57504,186,4520829,"Books, Movies & Music",,64,100,1.6,224202,"nursing student,Nursing note,Nursing school,Nursing study guide,headtotoe assessment,Nursing medsurg,Nursingschool bundle,Nursing cheat sheet,Fundamentals nursing,RNExplained,Nurseinthemaking,Nurseinthemake,rnexplaine",nursing student,Nursing note,Nursing school,Nursing study guide,headtotoe assessment,Nursing medsurg,Nursingschool bundle,Nursing cheat sheet,Fundamentals nursing,RNExplained,Nurseinthemaking,Nurseinthemake,rnexplaine,../data/images/The_Complete_Nursing_School_Bundle____2025_Edition.png
"Personalized Name Necklace, Name Logo Necklace,  Gift for Her,  Personalized Gift, One of a kind Gift, Gold Name Necklace, Gifts for mom",https://www.etsy.com/listing/1097017861/personalized-name-necklace-name-logo,RobertoGoldDiamond,https://www.etsy.com/shop/RobertoGoldDiamond,120,1251,150120,43822,10512,35 Mo.,60955,300,1555673,Jewelry,,85,100,2.82,107029,"gold name necklace,unique birthday gift,personalized gift,necklace with name,necklace for women,gift for mom,gifts for her,gifts for wife,personalized jewelry,minimalist,jewelry gift,Mothers day gift,handmade jewelry",gold name necklace,unique birthday gift,personalized gift,necklace with name,necklace for women,gift for mom,gifts for her,gifts for wife,personalized jewelry,minimalist,jewelry gift,Mothers day gift,handmade jewelry,../data/images/Personalized_Name_Necklace__Name_Logo_Necklace___G.png
"Marble Wood Charcuterie Board, Wedding Gift, Gift for Couple, Anniversary Gift, Housewarming Gift, Engagement Gift, Bridal Shower Gift",https://www.etsy.com/listing/1283162551/marble-wood-charcuterie-board-wedding,EngraveMyMemories,https://www.etsy.com/shop/EngraveMyMemories,125,716,148217,8075,1539,25 Mo.,10504,61,306462,Home & Living,,123,100,2.63,261057,"New home gift,closing gift,realtor gift,marble wood board,charcuterie board,gift for couple,wedding gift,anniversary gift,housewarming gift,engagement gift,bridal shower gift,bride and groom gift,serving tray",New home gift,closing gift,realtor gift,marble wood board,charcuterie board,gift for couple,wedding gift,anniversary gift,housewarming gift,engagement gift,bridal shower gift,bride and groom gift,serving tray,../data/images/Marble_Wood_Charcuterie_Board__Wedding_Gift__Gift_.png
Madam President - Kamala Harris (and Tim!) 2024 - Yard Sign,https://www.etsy.com/listing/1774368557/madam-president-kamala-harris-and-tim,colinharman,https://www.etsy.com/shop/colinharman,28,4187,117236,4187,415,1 Mo.,3143,415,112212,Paper & Party Supplies,,19,100,3.73,11754,"Kamala Harris 2024,Kamala Harris barbie,Kamala barbie,Madam president,President harris,Yard sign,kamala harris sign,vote outdoor signs,election yard signs,Tim walz,Harris walz 2024,Harris 2024 yard,Kamala yard sign",Kamala Harris 2024,Kamala Harris barbie,Kamala barbie,Madam president,President harris,Yard sign,kamala harris sign,vote outdoor signs,election yard signs,Tim walz,Harris walz 2024,Harris 2024 yard,Kamala yard sign,../data/images/Madam_President___Kamala_Harris__and_Tim___2024___.png
"Personalized Mama Sweatshirt with Kid Names on Sleeve, Mothers Day Gift, Birthday Gift for Mom, New Mom Gift, Minimalist Cool Mom Sweater",https://www.etsy.com/listing/1559697371/personalized-mama-sweatshirt-with-kid,LoveSuna,https://www.etsy.com/shop/LoveSuna,40,2913,116374,34992,6858,12 Mo.,44504,571,1245107,Clothing,,53,100,2.81,205344,"Mama Sweatshirt,Gift for Mom,Mothers Day Gift,New Mom Gift,First Mothers Day,Baby Shower Gift,Cool Mom Sweater,Mom Kids Name Sleeve,Mama Shirt,Gift for Her,New Mom Gifts,Mama Crewneck,Anniversary Gift",Mama Sweatshirt,Gift for Mom,Mothers Day Gift,New Mom Gift,First Mothers Day,Baby Shower Gift,Cool Mom Sweater,Mom Kids Name Sleeve,Mama Shirt,Gift for Her,New Mom Gifts,Mama Crewneck,Anniversary Gift,../data/images/Personalized_Mama_Sweatshirt_with_Kid_Names_on_Sle.png
"Personalized Hand embroidered Name Baby Sweater,Custome Baby Name Sweater,Pink Baby Girls Sweater With Name,Birthday Gift For Baby Girls Boy",https://www.etsy.com/listing/1606106909/personalized-hand-embroidered-name-baby,MillionDesignArt,https://www.etsy.com/shop/MillionDesignArt,59,1855,109408,18554,3280,10 Mo.,18653,328,678398,Clothing,,15,100,2.73,37929,"name sweater baby,Baby Name Sweater,Baby Sweater,custom baby sweater,Toddler Sweater,Baby Girl Sweater,Baby Boy Sweater,Knitted Baby Sweater,Baby Name pullover,baby knit sweater,Baby Gift,Gifts for Daughters,custome baby gift",name sweater baby,Baby Name Sweater,Baby Sweater,custom baby sweater,Toddler Sweater,Baby Girl Sweater,Baby Boy Sweater,Knitted Baby Sweater,Baby Name pullover,baby knit sweater,Baby Gift,Gifts for Daughters,custome baby gift,../data/images/Personalized_Hand_embroidered_Name_Baby_Sweater_Cu.png
"Large wood name sign, nursery name sign, girl name sign, above crib name sign, layered baby name sign, boy name sign, cut out sign",https://www.etsy.com/listing/1172278157/large-wood-name-sign-nursery-name-sign,TwoAvocadosSigns,https://www.etsy.com/shop/TwoAvocadosSigns,160,653,104480,20246,5952,31 Mo.,41781,192,1342785,Home & Living,,77,100,1.51,89552,"wood name sign,large name sign,layered name sign,cut out name sign,boho name sign,nursery name sign,baby name sign,outlined name sign,boho nursery,girl name sign,boy name sign,above crib sign,house of rounds",wood name sign,large name sign,layered name sign,cut out name sign,boho name sign,nursery name sign,baby name sign,outlined name sign,boho nursery,girl name sign,boy name sign,above crib sign,house of rounds,../data/images/Large_wood_name_sign__nursery_name_sign__girl_name.png
Personalized Name Necklace by CaitlynMinimalist • Gold Name Necklace with Box Chain • Perfect Gift for Her • Personalized Gift • NM81F91,https://www.etsy.com/listing/990762977/personalized-name-necklace-by,CaitlynMinimalist,https://www.etsy.com/shop/CaitlynMinimalist,42,2478,104076,104153,21520,42 Mo.,120658,512,4353863,Jewelry,,118,100,2.39,3116334,"GIFTS FOR HER,NAME NECKLACE,SILVER NAME NECKLACE,PERSONALIZED JEWELRY,MINIMALIST NECKLACE,DAINTY NAME NECKLACE,PERSONALIZED GIFT,CUSTOM NAME NECKLACE,CAITLYN MINIMALIST,GOLD NAME NECKLACE,BOX CHAIN,BOX CHAIN NECKLACE,GIFTS FOR MOM",GIFTS FOR HER,NAME NECKLACE,SILVER NAME NECKLACE,PERSONALIZED JEWELRY,MINIMALIST NECKLACE,DAINTY NAME NECKLACE,PERSONALIZED GIFT,CUSTOM NAME NECKLACE,CAITLYN MINIMALIST,GOLD NAME NECKLACE,BOX CHAIN,BOX CHAIN NECKLACE,GIFTS FOR MOM,../data/images/Personalized_Name_Necklace_by_CaitlynMinimalist___.png
"Personalized Signature Necklace, Custom Name Necklace, Signature Name Necklace, Dainty Name Jewelry, Gift For Her, Mother Day Gift",https://www.etsy.com/listing/1174969404/personalized-signature-necklace-custom,HandmadeDaintyUS,https://www.etsy.com/shop/HandmadeDaintyUS,47,2140,101008,64235,12424,30 Mo.,57699,414,1723806,Jewelry,,34,100,3.73,128724,"name neckace,gold name necklace,silver name necklace,dainty name necklace,custom name necklace,gift for her,mother gift,namepalte necklace,signature necklace,mini name necklace,baby name necklace,uniqu name necklace,Mother Day Gift",name neckace,gold name necklace,silver name necklace,dainty name necklace,custom name necklace,gift for her,mother gift,namepalte necklace,signature necklace,mini name necklace,baby name necklace,uniqu name necklace,Mother Day Gift,../data/images/Personalized_Signature_Necklace__Custom_Name_Neckl.png
